numenq,man,age98,country_birth,region_school,location,urban_area,sch_lev,age_jun_hs,origin_father,origin_mother,occup_father,occup_mother
102647,0,20,0,26,1,7,2,12,0,0,6,6
102656,1,19,0,24,1,7,2,11,0,0,6,5
102660,0,19,0,82,1,2,2,12,0,0,6,5
102661,1,20,0,11,1,1,2,13,17,17,5,5
102665,0,19,0,31,1,4,2,11,0,0,5,5
102671,0,18,0,73,1,7,2,12,0,0,3,99
102675,0,19,0,22,1,7,2,12,0,0,6,6
102682,0,18,0,82,1,2,2,11,0,0,6,3
102688,1,18,0,24,2,7,1,12,0,0,5,7
102689,1,18,0,22,2,7,1,12,0,0,6,5
102696,0,20,0,82,1,7,2,12,23,23,6,7
102700,1,21,0,31,1,4,1,11,1,1,99,7
102701,1,18,0,31,1,7,2,11,0,0,6,6
102705,0,18,0,11,1,1,1,12,0,0,5,5
102708,1,17,0,42,1,7,1,13,0,0,4,7
102726,1,18,0,53,1,7,1,12,0,0,99,99
102729,1,18,0,82,1,2,2,12,0,0,99,5
102733,1,18,0,24,2,7,2,11,99,0,99,7
102734,0,17,0,31,1,4,2,11,0,0,99,99
102735,1,17,0,42,1,7,1,12,24,23,6,99
